,"Height-for-age ",,"Weight-for-height ",,,"Weight-for-age "
,"Percent-Percent-","Percent-","Percent-Percent- ",,"Percent-","Percent-Percent- "
,"age age Mean ","age ","age age ","Mean ","age ","age age ","Mean ","Number "
"Underweight (BMI<18.5) ","27.3 53.5 -2.1 ","7.9 ","25.2 1.1 ","-1.3 ","20.9  ","52.0 0.2 ","-2.1 ","17,656 "
"Normal (BMI 18.5-24.9) ","22.5 46.3 -1.8 ","5.9 ","17.4 1.7 ","-0.9 ","13.6  ","38.7 0.4 ","-1.7 ","24,510 "
"Overweight (BMI ≥ 25) ","12.0 31.2 -1.3 ","2.7 ","9.3 3.0 ","-0.5 ","4.6  ","20.1 1.0 ","-1.1 ","3,159 "
"Mother not measured ","28.9 51.7 -1.9 ","7.7 ","19.6 1.4 ","-0.9 ","19.6  ","41.3 0.3 ","-1.7 ","524 "
"Child’s living arrangements "
"Living with both parents ","23.9 ","48.4 ","-1.9 ","6.4 ","19.6 ","1.5 ","-1.0 ","15.9  ","42.8 ","0.3 ","-1.8 ","38,020 "
"Living with mother (not father) ","23.0 ","46.6 ","-1.8 ","7.0 ","21.2 ","1.8 ","-1.0 ","15.7  ","41.6 ","0.4 ","-1.8 ","7,858 "
"Living with father (not mother) ","25.5 ","52.4 ","-1.9 ","6.8 ","18.8 ","3.8 ","-1.1 ","19.4  ","42.4 ","0.9 ","-1.8 ","154 "
"Living with neither parent ","19.5 ","43.5 ","-1.7 ","4.3 ","15.8 ","1.9 ","-0.9 ","11.5  ","35.6 ","1.0 ","-1.6 ","624 "
"Wealth index "
"Lowest ","34.2 ","59.9 ","-2.3 ","8.7 ","25.0 ","1.0 ","-1.2 ","24.9  ","56.6 ","0.2 ","-2.2 ","11,689 "
"Second ","27.9 ","54.3 ","-2.1 ","6.7 ","22.0 ","1.1 ","-1.1 ","19.4  ","49.2 ","0.2 ","-2.0 ","10,398 "
"Middle ","23.1 ","48.9 ","-1.9 ","6.2 ","18.8 ","1.3 ","-1.0 ","14.1  ","41.4 ","0.3 ","-1.8 ","9,449 "
"Fourth ","16.5 ","40.8 ","-1.6 ","5.0 ","16.6 ","2.1 ","-0.9 ","9.5  ","33.6 ","0.5 ","-1.5 ","8,543 "
"Highest ","8.2 ","25.3 ","-1.1 ","4.2 ","12.7 ","2.7 ","-0.7 ","4.9  ","19.7 ","0.8 ","-1.1 ","6,577 "
"Total ","23.7 ","48.0 ","-1.9 ","6.4 ","19.8 ","1.5 ","-1.0 ","15.8 ","42.5 ","0.4 ","-1.8 ","46,655 "
